Pair 1,Pair 2,Pair 3,id,zappos,picUrl,productUrl,dateAdded,title,brand,style,waist_size,length_size,material,color,waist,front_rise,back_rise,hips,inseam,thigh,knee,outseam,cuff,country_of_origin,their_description_of_fit,their_description_of_leg,their_description_of_sit,rn,other1,other2,other3,other4,measurer,date_measured,source
,,,77,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,40,32,None,None,38.5,10,None,None,34,None,None,42,7.5,None,None,None,None,None,None,None,None,None,None,None,None
e,f,,78,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,30,32,None,None,None,10.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,79,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,31,32,None,None,None,10.5,None,None,None,None,None,None,8,None,None,None,None,None,None,None,None,None,None,None,None
b,,,80,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,32,32,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,81,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,33,32,None,None,None,11,None,None,None,None,None,None,8.5,None,None,None,None,None,None,None,None,None,None,None,None
,,,82,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,34,32,None,None,None,11,None,None,None,None,None,None,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,83,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,33,34,None,None,None,10.5,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
b,,,84,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,34,34,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,85,FALSE,http://www.mrporter.com/images/products/301853/301853_mrp_in_m2.jpg,http://www.mrporter.com/product/301853,6/11/11 2:45,Ludlow Chino Suit Trousers,J.Crew,None,36,34,None,None,None,11.5,None,None,None,None,None,None,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,86,FALSE,http://www.mrporter.com/images/products/300958/300958_mrp_in_m2.jpg,http://www.mrporter.com/product/300958,6/11/11 2:45,Cotton Blend Trousers,Incotex,None,30,32,None,None,32.5,8.5,None,None,34.5,None,None,41,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,87,FALSE,http://www.mrporter.com/images/products/300958/300958_mrp_in_m2.jpg,http://www.mrporter.com/product/300958,6/11/11 2:45,Cotton Blend Trousers,Incotex,None,31,32,None,None,33,8.5,None,None,34.5,None,None,41.5,7,None,None,None,None,None,None,None,None,None,None,None,None
,,,88,FALSE,http://www.mrporter.com/images/products/300958/300958_mrp_in_m2.jpg,http://www.mrporter.com/product/300958,6/11/11 2:45,Cotton Blend Trousers,Incotex,None,32,32,None,None,34,8.5,None,None,35.5,None,None,41.5,7,None,None,None,None,None,None,None,None,None,None,None,None
